central,fecha,tipo_evento,duracion_horas,observacion
Parque Solar Llano Blanco,2024-01-01,preventivo,18,Durante el turno: el vencimiento de la pauta periodica en el tablero de control; se repone la disponibilidad de la unidad dentro del plazo.
Termoelectrica Costa Brava,2024-01-01,inspeccion,5,Una observacion levantada en auditoria en el informe de termografia. Se levanta la observacion y se programa el seguimiento.
Central Lago Ventisquero,2024-01-02,falla_mecanica,37,El operador reporta vibracion excesiva en el eje; se revisa la caja multiplicadora y se purga el circuito de lubricacion y se ajusta el torque.
Eolica Cerro Negro,2024-01-03,inspeccion,4,Evento por una desviacion leve del parametro medido en la endoscopia del ducto; se registra la medicion en la ficha de la unidad.
Parque Solar Media Luna,2024-01-04,falla_electrica,26,Evento por una caida brusca de tension en el aislador de linea; se energiza la barra en forma escalonada.
Parque Solar Media Luna,2024-01-04,correctivo,39,Durante el turno: una reparacion mayor pendiente en la cuadrilla de intervencion; se repara el conjunto y se realiza la puesta en marcha.
Parque Solar Pampa Alta,2024-01-04,preventivo,19,El operador reporta el cumplimiento del programa de mantenimiento; se revisa la pauta de rutina trimestral y se repone la disponibilidad de la unidad dentro del plazo.
Central Lago Ventisquero,2024-01-05,inspeccion,4,Una lectura dentro de tolerancia en la endoscopia del ducto. Se completa el checklist sin desviaciones relevantes.
Central Vega Escondida,2024-01-05,inspeccion,1,Un hallazgo menor sin indisponibilidad en la endoscopia del ducto. Se completa el checklist sin desviaciones relevantes.
Parque Solar Cerro Dorado,2024-01-07,preventivo,13,Se registra el vencimiento de la pauta periodica en el filtro de admision durante la ronda del turno.
Parque Solar Pampa Alta,2024-01-07,inspeccion,1,Evento por una observacion levantada en auditoria en la medicion de espesores; se registra la medicion en la ficha de la unidad.
Parque Solar Pampa Alta,2024-01-08,preventivo,22,Se detecta el vencimiento de la pauta periodica en el plan anual de la unidad; se ejecuta la rutina programada y se actualiza el calendario.
Diesel Respaldo Cordillera,2024-01-09,falla_electrica,46,Evento por una caida brusca de tension en el rele de proteccion; se reconecta el interruptor tras verificar la aislacion.
Diesel Respaldo Cordillera,2024-01-09,correctivo,43,Se detecta la espera de un repuesto importado en la cuadrilla de intervencion; se completa la reparacion dentro del plazo comprometido.
